Country Name,Average % of Forest Cover (10 yrs),continent
Albania,28.3450564,Europe
American Samoa,88.55909091,Oceania
Andorra,34.04255319,Europe
Angola,46.90783669,Africa
Antigua and Barbuda,22.27272727,North America
Argentina,10.45968272,South America
Armenia,11.64543219,Asia
Australia,16.25023519,Oceania
Austria,46.75405111,Europe
Azerbaijan,12.19977185,Asia
"Bahamas, The",51.44855145,North America
Bangladesh,11.07782131,Asia
Barbados,14.65116279,North America
Belarus,42.06400475,Europe
Belgium,22.45346463,Europe
Belize,60.99972102,North America
Benin,40.44874069,Africa
Bermuda,20,North America
Bhutan,70.97334284,Asia
Bolivia,52.15872376,South America
Bosnia and Herzegovina,42.67578125,Europe
Botswana,20.06791754,Africa
Brazil,59.74693804,South America
British Virgin Islands,24.26666667,North America
Brunei Darussalam,72.57202001,Asia
Bulgaria,34.41628139,Europe
Burkina Faso,20.64792663,Africa
Cabo Verde,21.33837131,Africa
Cambodia,57.183322,Asia
Cameroon,42.13153942,Africa
Canada,38.19352283,North America
Cayman Islands,52.91666667,North America
Central African Republic,35.7122219,Africa
Chile,22.31193326,South America
China,21.3725208,Asia
Colombia,53.20053259,South America
Comoros,21.10302379,Africa
"Congo, Dem. Rep.",67.98923711,Africa
"Congo, Rep.",65.61160655,Africa
Costa Rica,51.21603817,North America
Cote d'Ivoire,32.71383648,Africa
Croatia,34.23711742,Europe
Cuba,27.8028683,North America
Cyprus,18.70188902,Europe
Czech Republic,34.40010204,Europe
Denmark,13.83102622,Europe
Dominica,59.54666667,North America
Dominican Republic,37.61690597,North America
Ecuador,52.10805429,South America
El Salvador,13.85135135,North America
Equatorial Guinea,57.97763734,Africa
Eritrea,15.16831683,Africa
Estonia,52.80404898,Europe
Ethiopia,12.54336364,Africa
Fiji,54.77369757,Oceania
Finland,73.0196354,Europe
France,29.9960469,Europe
French Polynesia,40.48683557,Oceania
Gabon,86.43896174,Africa
"Gambia, The",47.4038807,Africa
Georgia,40.42007352,Asia
Germany,32.70659838,Europe
Ghana,40.41047728,Africa
Greece,30.27928627,Europe
Grenada,49.97058824,North America
Guam,46.2962963,Oceania
Guatemala,34.81964098,North America
Guinea,26.63193879,Africa
Guinea-Bissau,71.90611664,Africa
Guyana,84.17299744,South America
Honduras,46.40271695,North America
Hungary,22.56229649,Europe
India,23.36403905,Asia
Indonesia,52.12761206,Asia
Ireland,10.5236807,Europe
Italy,30.69286734,Europe
Jamaica,31.13153698,North America
Japan,68.45875478,Asia
Kiribati,15,Oceania
"Korea, Dem. People’s Rep.",47.05136239,Asia
"Korea, Rep.",64.01023924,Asia
Lao PDR,77.19046794,Asia
Latvia,53.68685984,Europe
Lebanon,13.38220919,Asia
Liberia,44.94393688,Africa
Liechtenstein,43.125,Europe
Lithuania,34.45523218,Europe
Luxembourg,33.47490347,Europe
"Macedonia, FYR",39.26204664,Europe
Madagascar,21.67759484,Africa
Malawi,34.55085432,Africa
Malaysia,66.37290574,Asia
Marshall Islands,70.22222222,Oceania
Mauritius,18.91625616,Africa
Mexico,34.22548747,North America
"Micronesia, Fed. Sts.",91.61298701,Oceania
Moldova,11.74140509,Europe
Montenegro,57.4112876,Europe
Morocco,12.51889271,Africa
Mozambique,49.58474853,Africa
Myanmar,48.14260717,Asia
Nepal,25.3644925,Asia
Netherlands,11.0186588,Europe
New Caledonia,45.89715536,Oceania
New Zealand,38.58569747,Oceania
Nicaragua,26.66988986,North America
Northern Mariana Islands,65.91106719,Oceania
Norway,33.1339238,Europe
Palau,87.60869565,Oceania
Panama,63.21324626,North America
Papua New Guinea,74.13489218,Oceania
Paraguay,42.59295701,South America
Peru,58.4203125,South America
Philippines,24.25157095,Asia
Poland,30.44051495,Europe
Portugal,35.37981777,Europe
Puerto Rico,54.04847802,North America
Romania,28.58649554,Europe
Russian Federation,49.6627822,Europe
Rwanda,17.78015256,Africa
Samoa,60.42402827,Oceania
Sao Tome and Principe,56.51515152,Africa
Senegal,44.00872591,Africa
Serbia,30.30268382,Europe
Seychelles,88.41304348,Africa
Sierra Leone,39.33852238,Africa
Singapore,23.31358535,Asia
Slovak Republic,40.2841566,Europe
Slovenia,61.87595919,Europe
Solomon Islands,79.06395141,Oceania
Somalia,10.75493353,Africa
Spain,36.09077889,Europe
Sri Lanka,33.45703889,Asia
St. Kitts and Nevis,42.30769231,North America
St. Lucia,33.7704918,North America
St. Martin (French part),18.38235294,North America
St. Vincent and the Grenadines,68.53146853,North America
Sudan,10.09504668,Africa
Suriname,98.40559441,South America
Swaziland,32.74841438,Africa
Sweden,68.694515,Europe
Switzerland,31.25985221,Europe
Tanzania,54.14109485,Africa
Thailand,31.80581481,Asia
Timor-Leste,49.89912576,Asia
Tonga,12.5,Oceania
Trinidad and Tobago,44.75349991,North America
Turkey,14.54606877,Asia
Turks and Caicos Islands,36.21052632,North America
Tuvalu,33.33333333,Oceania
Uganda,13.75474605,Africa
Ukraine,16.54528848,Europe
United Kingdom,12.69713629,Europe
United States,33.65782897,North America
Vanuatu,36.09515997,Oceania
"Venezuela, RB",53.66764407,South America
Vietnam,45.20680081,Asia
Virgin Islands (U.S.),51.89350649,North America
Zambia,66.54380608,Africa
Zimbabwe,40.43921182,Africa
